,prices,address,links,beds,baths,sq_feet
71,899000.0, 9623 Vista View Dr Austin TX 78750 ,https://www.zillow.com/homedetails/9623-Vista-View-Dr-Austin-TX-78750/29372669_zpid/,3,2,1440
72,465000.0, 1708 Garden St UNIT 2 Austin TX 78702 ,https://www.zillow.com/homedetails/1708-Garden-St-UNIT-2-Austin-TX-78702/305426452_zpid/,3,2,1116
73,189000.0, 1800 Lavaca St APT 101 Austin TX 78701 ,https://www.zillow.com/homedetails/1800-Lavaca-St-APT-101-Austin-TX-78701/2096882743_zpid/,3,3,1537
74,1100000.0, 2107 Arpdale St Austin TX 78704 ,https://www.zillow.com/homedetails/2107-Arpdale-St-Austin-TX-78704/29473051_zpid/,3,2,1248
75,480000.0, 13516 Pyrite Dr Austin TX 78729 ,https://www.zillow.com/homedetails/13516-Pyrite-Dr-Austin-TX-78729/250923891_zpid/,4,3,1841
76,567890.0, 1721 Poppy Seed Ln Austin TX 78741 ,https://www.zillow.com/homedetails/1721-Poppy-Seed-Ln-Austin-TX-78741/70345793_zpid/,2,2,967
77,575000.0, 9550 Savannah Ridge Dr UNIT 10 Austin TX 78726 ,https://www.zillow.com/homedetails/9550-Savannah-Ridge-Dr-UNIT-10-Austin-TX-78726/120898546_zpid/,4,3,2763
78,325000.0, 2501 Village Trail Cir Austin TX 78744 ,https://www.zillow.com/homedetails/2501-Village-Trail-Cir-Austin-TX-78744/29466707_zpid/,3,3,1896
79,535000.0, 8110 Ranch Rd #2222-38 Austin TX 78745 ,https://www.zillow.com/homedetails/8110-Ranch-Rd-2222-38-Austin-TX-78745/80106364_zpid/,4,2,1461
80,699000.0, 3006 Hemphill Park Austin TX 78705 ,https://www.zillow.com/homedetails/3006-Hemphill-Park-Austin-TX-78705/29397392_zpid/,3,2,1440
81,319000.0, 106 E 30th St APT 103 Austin TX 78705 ,https://www.zillow.com/homedetails/106-E-30th-St-APT-103-Austin-TX-78705/62605830_zpid/,3,2,1116
82,539000.0, 10301 Forest Grove Dr Austin TX 78747 ,https://www.zillow.com/homedetails/10301-Forest-Grove-Dr-Austin-TX-78747/305434417_zpid/,3,3,1537
83,75000.0, 4003 Lower Dr Austin TX 78725 ,https://www.zillow.com/homedetails/4003-Lower-Dr-Austin-TX-78725/2071538900_zpid/,3,2,1248
84,739000.0, 3208 Amber Oak Dr Austin TX 78748 ,https://www.zillow.com/homedetails/3208-Amber-Oak-Dr-Austin-TX-78748/29510384_zpid/,4,3,1841
85,350000.0, 5416 Juniper Junction Ln #78 Austin TX 78744 ,https://www.zillow.com/homedetails/5416-Juniper-Junction-Ln-78-Austin-TX-78744/124843932_zpid/,2,2,967
86,3500000.0, 1807 Lakeshore Dr Austin TX 78746 ,https://www.zillow.com/homedetails/1807-Lakeshore-Dr-Austin-TX-78746/29336266_zpid/,4,3,2763
87,539900.0, 8414 Spring Valley Dr Austin TX 78736 ,https://www.zillow.com/homedetails/8414-Spring-Valley-Dr-Austin-TX-78736/29477849_zpid/,3,3,1896
88,399900.0, 1404 Norwalk Ln APT 204 Austin TX 78703 ,https://www.zillow.com/homedetails/1404-Norwalk-Ln-APT-204-Austin-TX-78703/29332302_zpid/,4,2,1461
89,3695000.0, 14145 Bear Creek Pass Austin TX 78737 ,https://www.zillow.com/homedetails/14145-Bear-Creek-Pass-Austin-TX-78737/331639797_zpid/,3,2,1440
